humidity,temperature,pressure,season,raining
85.53,37.2,30.83,winter,False
80.07,34.18,30.79,winter,False
57.39,42.5,28.92,winter,False
60.29,31.49,28.94,winter,False
87.55,37.65,28.75,winter,False
38.97,24.23,30.83,winter,False
72.91,34.4,29.84,winter,False
87.63,35.99,28.81,winter,False
38.73,26.47,31.47,winter,False
85.71,39.38,30.86,winter,False
48.96,39.14,30.73,winter,False
58.8,32.61,29.82,winter,False
54.4,38.13,29.87,winter,False
43.25,35.92,28.54,winter,False
60.8,28.44,28.7,winter,False
91.71,42.58,31.06,winter,False
90.83,35.39,29.85,winter,False
95.95,27.68,29.85,winter,False
86.17,22.41,30.44,winter,False
42.07,20.53,30.99,winter,False
72.46,44.44,30.99,winter,False
84.13,29.45,30.3,winter,False
89.43,38.26,31.43,winter,False
35.88,23.79,28.77,winter,False
69.94,29.02,28.51,winter,False
58.67,40.57,30.94,winter,False
95.65,29.06,28.78,winter,False
82.04,26.11,29.47,winter,False
74.36,23.42,31.48,winter,False
46.66,34.54,29.74,winter,False
95.18,36.71,27.84,winter,True
95.62,35.2,29.85,winter,True
98.28,37.4,28.03,winter,True
95.65,35.28,27.8,winter,True
97.2,28.63,28.4,winter,True
97.18,31.44,28.44,winter,True
97.42,23.45,29.52,winter,True
96.19,37.75,28.19,winter,True
95.01,25.59,29.04,winter,True
98.82,33.01,29.43,winter,True
98.98,19.46,29.69,winter,True
96.13,41.87,28.09,winter,True
95.49,21.06,28.75,winter,True
97.88,28.11,28.24,winter,True
96.03,18.96,29.27,winter,True
96.52,38.44,28.03,winter,True
99.93,38.34,29.43,winter,True
98.62,24.86,27.99,winter,True
98.1,34.55,28.75,winter,True
95.16,34.06,28.83,winter,True
98.52,23.06,29.23,winter,True
98.47,26.07,28.49,winter,True
97.2,27.75,29.92,winter,True
98.82,24.57,28.18,winter,True
97.57,38.26,29.54,winter,True
95.28,21.28,28.18,winter,True
96.77,33.45,28.61,winter,True
97.62,32.2,28.01,winter,True
95.49,36.72,28.34,winter,True
95.64,19.86,28.63,winter,True
98.97,38.57,27.96,winter,True
98.61,22.66,29.69,winter,True
99.89,34.03,28.05,winter,True
99.85,28.95,29.85,winter,True
97.37,24.28,29.02,winter,True
95.71,22.96,29.62,winter,True
96.84,19.93,28.46,winter,True
99.87,62.74,29.86,spring,False
46.64,53.76,30.27,spring,False
35.79,48.55,28.83,spring,False
96.37,57.52,31.34,spring,False
76.02,49.28,28.6,spring,False
44.29,51.83,28.52,spring,False
38.06,49.98,28.79,spring,False
62.08,61.43,30.41,spring,False
95.87,59.1,28.8,spring,False
67.38,66.0,31.19,spring,False
58.35,68.36,30.67,spring,False
36.5,52.8,31.27,spring,False
37.21,57.48,29.12,spring,False
53.04,47.03,30.27,spring,False
73.18,68.61,31.49,spring,False
38.85,62.64,29.32,spring,False
36.97,69.0,30.16,spring,False
39.79,46.11,31.43,spring,False
39.43,63.56,29.19,spring,False
52.27,56.39,29.84,spring,False
61.76,69.21,29.06,spring,False
56.61,67.55,29.7,spring,False
60.02,49.71,28.86,spring,False
73.34,69.93,30.95,spring,False
67.49,56.46,30.8,spring,False
53.9,56.88,30.57,spring,False
84.48,57.04,31.3,spring,False
47.04,51.74,30.92,spring,False
52.74,53.28,30.95,spring,False
41.18,59.01,30.54,spring,False
57.67,58.82,28.74,spring,False
65.74,64.03,30.91,spring,False
80.8,46.32,30.01,spring,False
39.47,67.9,29.0,spring,False
88.39,50.51,30.1,spring,False
91.93,62.26,30.63,spring,False
99.57,42.16,29.16,spring,True
96.82,65.01,28.49,spring,True
96.12,65.86,28.84,spring,True
97.31,54.66,29.53,spring,True
98.9,58.42,28.53,spring,True
99.26,58.74,28.22,spring,True
95.08,46.64,27.88,spring,True
95.29,58.25,29.01,spring,True
96.84,56.07,29.75,spring,True
96.54,49.83,28.81,spring,True
98.71,51.28,28.91,spring,True
99.14,63.3,28.98,spring,True
95.46,65.14,27.85,spring,True
97.35,57.01,29.89,spring,True
99.29,58.71,27.99,spring,True
97.11,52.22,28.94,spring,True
96.2,65.41,29.41,spring,True
98.51,56.24,29.2,spring,True
99.5,41.35,29.8,spring,True
95.58,46.78,29.07,spring,True
96.56,49.81,28.36,spring,True
97.17,48.64,28.85,spring,True
99.57,55.18,28.63,spring,True
98.71,42.34,28.4,spring,True
96.25,49.16,28.93,spring,True
99.55,56.03,29.46,spring,True
100.0,41.05,28.89,spring,True
99.63,54.9,29.43,spring,True
50.44,87.55,30.88,summer,False
90.33,86.59,29.89,summer,False
41.14,73.99,30.89,summer,False
91.59,93.78,30.85,summer,False
95.41,86.76,30.84,summer,False
56.03,88.0,28.6,summer,False
67.48,95.12,30.91,summer,False
75.04,94.71,30.46,summer,False
64.24,82.4,29.64,summer,False
98.05,80.67,28.85,summer,False
42.42,74.19,29.61,summer,False
56.8,97.75,29.64,summer,False
71.92,93.25,29.33,summer,False
74.97,75.93,30.82,summer,False
96.38,78.61,28.72,summer,False
79.13,70.87,30.27,summer,False
45.08,87.48,30.03,summer,False
99.65,74.61,28.97,summer,False
90.02,94.18,29.99,summer,False
98.72,76.8,28.61,summer,False
76.05,97.45,30.94,summer,False
90.72,71.17,31.46,summer,False
63.49,97.36,30.06,summer,False
37.82,91.32,29.3,summer,False
75.14,86.67,29.03,summer,False
97.87,73.74,29.05,summer,True
98.48,71.66,28.98,summer,True
97.91,64.8,27.83,summer,True
96.26,91.95,29.44,summer,True
97.93,70.19,29.0,summer,True
98.69,88.76,27.98,summer,True
96.52,86.87,29.82,summer,True
97.83,93.68,29.53,summer,True
98.06,88.41,28.78,summer,True
95.6,74.66,29.7,summer,True
96.92,85.97,29.57,summer,True
98.57,78.21,29.39,summer,True
99.35,75.68,28.22,summer,True
96.81,79.71,29.39,summer,True
99.45,93.44,28.98,summer,True
96.59,70.02,29.54,summer,True
96.45,94.61,29.02,summer,True
95.57,93.87,29.69,summer,True
98.29,91.42,29.6,summer,True
97.74,85.74,28.58,summer,True
95.65,86.59,28.58,summer,True
96.27,80.15,29.5,summer,True
95.7,78.29,29.13,summer,True
96.52,63.94,29.48,summer,True
97.33,65.17,28.23,summer,True
99.21,92.49,28.74,summer,True
97.86,73.89,27.83,summer,True
98.5,83.68,29.8,summer,True
97.54,86.89,29.61,summer,True
96.25,66.67,29.52,summer,True
98.7,86.88,29.2,summer,True
87.25,46.28,29.42,fall,False
72.31,50.25,30.22,fall,False
86.12,58.15,29.03,fall,False
44.3,45.81,30.27,fall,False
43.59,54.5,30.09,fall,False
97.13,59.61,30.51,fall,False
51.67,51.32,30.37,fall,False
37.09,47.05,29.85,fall,False
67.89,64.39,30.63,fall,False
76.03,47.23,29.17,fall,False
55.32,62.49,29.03,fall,False
44.88,48.24,28.62,fall,False
44.88,52.84,28.99,fall,False
54.88,46.88,29.38,fall,False
66.61,53.09,29.94,fall,False
47.71,56.76,29.78,fall,False
86.51,47.19,31.2,fall,False
40.31,62.47,29.36,fall,False
37.69,64.87,28.92,fall,False
82.02,60.78,28.92,fall,False
65.97,45.83,30.86,fall,False
37.06,61.79,28.85,fall,False
77.16,64.22,28.9,fall,False
70.31,48.09,31.43,fall,False
94.91,59.76,29.11,fall,False
52.07,50.23,28.51,fall,False
43.51,53.76,31.41,fall,False
98.7,49.32,30.15,fall,False
68.1,63.77,28.61,fall,False
44.84,52.3,29.43,fall,False
73.88,48.07,28.85,fall,False
62.11,45.58,29.6,fall,False
61.83,58.06,31.48,fall,False
72.38,62.95,30.88,fall,False
98.15,46.05,30.62,fall,False
36.23,55.99,30.88,fall,False
37.55,56.35,30.15,fall,False
73.47,53.95,31.44,fall,False
57.42,45.48,29.83,fall,False
84.26,52.68,30.68,fall,False
70.22,49.13,29.93,fall,False
89.33,50.82,30.45,fall,False
41.53,52.43,29.84,fall,False
68.22,49.45,29.49,fall,False
98.8,46.98,27.93,fall,True
99.37,53.93,29.73,fall,True
97.44,44.97,28.98,fall,True
98.42,52.38,28.54,fall,True
97.73,59.61,28.34,fall,True
96.56,57.32,27.82,fall,True
98.27,48.91,29.78,fall,True
99.69,61.19,29.59,fall,True
97.71,43.7,28.8,fall,True
98.76,45.51,27.88,fall,True
98.21,60.72,29.24,fall,True
99.8,41.5,29.03,fall,True
96.11,60.59,28.72,fall,True
99.04,54.67,28.62,fall,True
98.88,42.67,28.72,fall,True
99.13,50.14,29.77,fall,True
98.38,40.78,29.14,fall,True
98.56,44.74,29.44,fall,True
98.96,58.81,28.56,fall,True
98.48,59.5,28.59,fall,True
95.52,48.06,29.79,fall,True
95.29,41.84,27.99,fall,True
98.25,44.19,28.19,fall,True
98.9,46.2,29.51,fall,True
98.68,41.76,28.4,fall,True
